Epoch 79: duration loss = 0.225 | prior loss = 0.962 | diffusion loss = 0.055
Epoch 80: duration loss = 0.224 | prior loss = 0.962 | diffusion loss = 0.054
Epoch 81: duration loss = 0.223 | prior loss = 0.962 | diffusion loss = 0.054
Epoch 82: duration loss = 0.223 | prior loss = 0.962 | diffusion loss = 0.054
Epoch 83: duration loss = 0.222 | prior loss = 0.962 | diffusion loss = 0.054
Epoch 84: duration loss = 0.222 | prior loss = 0.962 | diffusion loss = 0.055
Epoch 85: duration loss = 0.221 | prior loss = 0.962 | diffusion loss = 0.054
Epoch 86: duration loss = 0.220 | prior loss = 0.962 | diffusion loss = 0.055
Epoch 87: duration loss = 0.220 | prior loss = 0.962 | diffusion loss = 0.055
Epoch 88: duration loss = 0.219 | prior loss = 0.962 | diffusion loss = 0.055
Epoch 89: duration loss = 0.219 | prior loss = 0.962 | diffusion loss = 0.054
Epoch 90: duration loss = 0.218 | prior loss = 0.962 | diffusion loss = 0.054
Epoch 91: duration loss = 0.217 | prior loss = 0.961 | diffusion loss = 0.055
Epoch 92: duration loss = 0.217 | prior loss = 0.961 | diffusion loss = 0.054
Epoch 93: duration loss = 0.216 | prior loss = 0.961 | diffusion loss = 0.054
Epoch 94: duration loss = 0.215 | prior loss = 0.961 | diffusion loss = 0.055
Epoch 95: duration loss = 0.215 | prior loss = 0.961 | diffusion loss = 0.055
Epoch 96: duration loss = 0.215 | prior loss = 0.961 | diffusion loss = 0.055
Epoch 97: duration loss = 0.214 | prior loss = 0.961 | diffusion loss = 0.055
Epoch 98: duration loss = 0.214 | prior loss = 0.961 | diffusion loss = 0.054
Epoch 99: duration loss = 0.213 | prior loss = 0.961 | diffusion loss = 0.054
Epoch 100: duration loss = 0.213 | prior loss = 0.961 | diffusion loss = 0.055
Epoch 101: duration loss = 0.212 | prior loss = 0.961 | diffusion loss = 0.054
Epoch 102: duration loss = 0.212 | prior loss = 0.961 | diffusion loss = 0.054
Epoch 103: duration loss = 0.212 | prior loss = 0.961 | diffusion loss = 0.054
Epoch 104: duration loss = 0.211 | prior loss = 0.961 | diffusion loss = 0.055
Epoch 105: duration loss = 0.211 | prior loss = 0.961 | diffusion loss = 0.055
Epoch 106: duration loss = 0.210 | prior loss = 0.961 | diffusion loss = 0.054
Epoch 107: duration loss = 0.210 | prior loss = 0.961 | diffusion loss = 0.055
Epoch 108: duration loss = 0.209 | prior loss = 0.961 | diffusion loss = 0.054
Epoch 109: duration loss = 0.209 | prior loss = 0.961 | diffusion loss = 0.054
Epoch 110: duration loss = 0.209 | prior loss = 0.961 | diffusion loss = 0.054
Epoch 111: duration loss = 0.208 | prior loss = 0.961 | diffusion loss = 0.055
Epoch 112: duration loss = 0.208 | prior loss = 0.960 | diffusion loss = 0.055
Epoch 113: duration loss = 0.207 | prior loss = 0.960 | diffusion loss = 0.054
Epoch 114: duration loss = 0.207 | prior loss = 0.960 | diffusion loss = 0.055
Epoch 115: duration loss = 0.206 | prior loss = 0.960 | diffusion loss = 0.054
Epoch 116: duration loss = 0.206 | prior loss = 0.960 | diffusion loss = 0.053
Epoch 117: duration loss = 0.206 | prior loss = 0.960 | diffusion loss = 0.053
Epoch 118: duration loss = 0.206 | prior loss = 0.960 | diffusion loss = 0.055
Epoch 119: duration loss = 0.205 | prior loss = 0.960 | diffusion loss = 0.054
Epoch 120: duration loss = 0.205 | prior loss = 0.960 | diffusion loss = 0.054
Epoch 121: duration loss = 0.204 | prior loss = 0.960 | diffusion loss = 0.054
Epoch 122: duration loss = 0.204 | prior loss = 0.960 | diffusion loss = 0.054
Epoch 123: duration loss = 0.203 | prior loss = 0.960 | diffusion loss = 0.053
Epoch 124: duration loss = 0.203 | prior loss = 0.960 | diffusion loss = 0.054
Epoch 125: duration loss = 0.203 | prior loss = 0.960 | diffusion loss = 0.054
Epoch 126: duration loss = 0.203 | prior loss = 0.960 | diffusion loss = 0.053
Epoch 127: duration loss = 0.203 | prior loss = 0.960 | diffusion loss = 0.053
Epoch 128: duration loss = 0.202 | prior loss = 0.960 | diffusion loss = 0.053
Epoch 129: duration loss = 0.202 | prior loss = 0.960 | diffusion loss = 0.054
Epoch 130: duration loss = 0.201 | prior loss = 0.960 | diffusion loss = 0.054
Epoch 131: duration loss = 0.201 | prior loss = 0.960 | diffusion loss = 0.053
Epoch 132: duration loss = 0.201 | prior loss = 0.960 | diffusion loss = 0.054
Epoch 133: duration loss = 0.201 | prior loss = 0.960 | diffusion loss = 0.054
Epoch 134: duration loss = 0.200 | prior loss = 0.960 | diffusion loss = 0.054
Epoch 135: duration loss = 0.200 | prior loss = 0.960 | diffusion loss = 0.053
Epoch 136: duration loss = 0.200 | prior loss = 0.960 | diffusion loss = 0.054
Epoch 137: duration loss = 0.199 | prior loss = 0.960 | diffusion loss = 0.054
Epoch 138: duration loss = 0.199 | prior loss = 0.960 | diffusion loss = 0.054
Epoch 139: duration loss = 0.199 | prior loss = 0.960 | diffusion loss = 0.054
Epoch 140: duration loss = 0.198 | prior loss = 0.960 | diffusion loss = 0.054
Epoch 141: duration loss = 0.198 | prior loss = 0.960 | diffusion loss = 0.055
Epoch 142: duration loss = 0.198 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 143: duration loss = 0.198 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 144: duration loss = 0.197 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 145: duration loss = 0.196 | prior loss = 0.959 | diffusion loss = 0.053
Epoch 146: duration loss = 0.196 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 147: duration loss = 0.195 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 148: duration loss = 0.195 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 149: duration loss = 0.192 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 150: duration loss = 0.191 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 151: duration loss = 0.189 | prior loss = 0.959 | diffusion loss = 0.055
Epoch 152: duration loss = 0.187 | prior loss = 0.959 | diffusion loss = 0.053
Epoch 153: duration loss = 0.187 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 154: duration loss = 0.185 | prior loss = 0.959 | diffusion loss = 0.053
Epoch 155: duration loss = 0.186 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 156: duration loss = 0.184 | prior loss = 0.959 | diffusion loss = 0.053
Epoch 157: duration loss = 0.184 | prior loss = 0.959 | diffusion loss = 0.053
Epoch 158: duration loss = 0.183 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 159: duration loss = 0.183 | prior loss = 0.959 | diffusion loss = 0.053
Epoch 160: duration loss = 0.183 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 161: duration loss = 0.182 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 162: duration loss = 0.182 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 163: duration loss = 0.181 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 164: duration loss = 0.181 | prior loss = 0.959 | diffusion loss = 0.053
Epoch 165: duration loss = 0.180 | prior loss = 0.959 | diffusion loss = 0.053
Epoch 166: duration loss = 0.180 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 167: duration loss = 0.180 | prior loss = 0.959 | diffusion loss = 0.053
Epoch 168: duration loss = 0.179 | prior loss = 0.959 | diffusion loss = 0.053
Epoch 169: duration loss = 0.179 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 170: duration loss = 0.179 | prior loss = 0.959 | diffusion loss = 0.055
Epoch 171: duration loss = 0.179 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 172: duration loss = 0.178 | prior loss = 0.959 | diffusion loss = 0.053
Epoch 173: duration loss = 0.178 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 174: duration loss = 0.178 | prior loss = 0.959 | diffusion loss = 0.053
Epoch 175: duration loss = 0.177 | prior loss = 0.959 | diffusion loss = 0.053
Epoch 176: duration loss = 0.177 | prior loss = 0.959 | diffusion loss = 0.053
Epoch 177: duration loss = 0.177 | prior loss = 0.959 | diffusion loss = 0.053
Epoch 178: duration loss = 0.176 | prior loss = 0.959 | diffusion loss = 0.054
Epoch 179: duration loss = 0.176 | prior loss = 0.959 | diffusion loss = 0.053
Epoch 180: duration loss = 0.176 | prior loss = 0.959 | diffusion loss = 0.052
Epoch 181: duration loss = 0.176 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 182: duration loss = 0.175 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 183: duration loss = 0.175 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 184: duration loss = 0.175 | prior loss = 0.958 | diffusion loss = 0.054
Epoch 185: duration loss = 0.175 | prior loss = 0.958 | diffusion loss = 0.054
Epoch 186: duration loss = 0.175 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 187: duration loss = 0.174 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 188: duration loss = 0.175 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 189: duration loss = 0.174 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 190: duration loss = 0.174 | prior loss = 0.958 | diffusion loss = 0.052
Epoch 191: duration loss = 0.173 | prior loss = 0.958 | diffusion loss = 0.054
Epoch 192: duration loss = 0.173 | prior loss = 0.958 | diffusion loss = 0.054
Epoch 193: duration loss = 0.173 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 194: duration loss = 0.173 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 195: duration loss = 0.173 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 196: duration loss = 0.173 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 197: duration loss = 0.172 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 198: duration loss = 0.172 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 199: duration loss = 0.172 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 200: duration loss = 0.172 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 201: duration loss = 0.171 | prior loss = 0.958 | diffusion loss = 0.054
Epoch 202: duration loss = 0.171 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 203: duration loss = 0.171 | prior loss = 0.958 | diffusion loss = 0.054
Epoch 204: duration loss = 0.171 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 205: duration loss = 0.171 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 206: duration loss = 0.170 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 207: duration loss = 0.170 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 208: duration loss = 0.170 | prior loss = 0.958 | diffusion loss = 0.054
Epoch 209: duration loss = 0.170 | prior loss = 0.958 | diffusion loss = 0.054
Epoch 210: duration loss = 0.170 | prior loss = 0.958 | diffusion loss = 0.052
Epoch 211: duration loss = 0.170 | prior loss = 0.958 | diffusion loss = 0.054
Epoch 212: duration loss = 0.170 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 213: duration loss = 0.170 | prior loss = 0.958 | diffusion loss = 0.054
Epoch 214: duration loss = 0.170 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 215: duration loss = 0.169 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 216: duration loss = 0.169 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 217: duration loss = 0.169 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 218: duration loss = 0.169 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 219: duration loss = 0.168 | prior loss = 0.958 | diffusion loss = 0.052
Epoch 220: duration loss = 0.168 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 221: duration loss = 0.168 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 222: duration loss = 0.168 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 223: duration loss = 0.168 | prior loss = 0.958 | diffusion loss = 0.054
Epoch 224: duration loss = 0.168 | prior loss = 0.958 | diffusion loss = 0.054
Epoch 225: duration loss = 0.167 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 226: duration loss = 0.167 | prior loss = 0.958 | diffusion loss = 0.054
Epoch 227: duration loss = 0.167 | prior loss = 0.958 | diffusion loss = 0.053
Epoch 228: duration loss = 0.167 | prior loss = 0.958 | diffusion loss = 0.053
