Epoch 1: duration loss = 0.914 | prior loss = 1.104 | diffusion loss = 0.095
Epoch 2: duration loss = 0.781 | prior loss = 1.031 | diffusion loss = 0.069
Epoch 3: duration loss = 0.761 | prior loss = 1.028 | diffusion loss = 0.065
Epoch 4: duration loss = 0.748 | prior loss = 1.026 | diffusion loss = 0.064
Epoch 5: duration loss = 0.740 | prior loss = 1.025 | diffusion loss = 0.063
Epoch 6: duration loss = 0.736 | prior loss = 1.024 | diffusion loss = 0.063
Epoch 7: duration loss = 0.730 | prior loss = 1.023 | diffusion loss = 0.062
Epoch 8: duration loss = 0.725 | prior loss = 1.022 | diffusion loss = 0.063
Epoch 9: duration loss = 0.722 | prior loss = 1.021 | diffusion loss = 0.061
Epoch 10: duration loss = 0.717 | prior loss = 1.021 | diffusion loss = 0.061
Epoch 11: duration loss = 0.714 | prior loss = 1.020 | diffusion loss = 0.061
Epoch 12: duration loss = 0.710 | prior loss = 1.020 | diffusion loss = 0.060
Epoch 13: duration loss = 0.705 | prior loss = 1.019 | diffusion loss = 0.059
Epoch 14: duration loss = 0.701 | prior loss = 1.018 | diffusion loss = 0.060
Epoch 15: duration loss = 0.696 | prior loss = 1.017 | diffusion loss = 0.060
Epoch 16: duration loss = 0.691 | prior loss = 1.017 | diffusion loss = 0.059
Epoch 17: duration loss = 0.686 | prior loss = 1.016 | diffusion loss = 0.059
Epoch 18: duration loss = 0.680 | prior loss = 1.015 | diffusion loss = 0.059
Epoch 19: duration loss = 0.675 | prior loss = 1.015 | diffusion loss = 0.060
Epoch 20: duration loss = 0.669 | prior loss = 1.014 | diffusion loss = 0.059
Epoch 21: duration loss = 0.664 | prior loss = 1.013 | diffusion loss = 0.059
Epoch 22: duration loss = 0.659 | prior loss = 1.013 | diffusion loss = 0.058
Epoch 23: duration loss = 0.652 | prior loss = 1.012 | diffusion loss = 0.058
Epoch 24: duration loss = 0.647 | prior loss = 1.011 | diffusion loss = 0.058
Epoch 25: duration loss = 0.641 | prior loss = 1.011 | diffusion loss = 0.059
Epoch 26: duration loss = 0.637 | prior loss = 1.010 | diffusion loss = 0.059
Epoch 27: duration loss = 0.633 | prior loss = 1.009 | diffusion loss = 0.058
Epoch 28: duration loss = 0.629 | prior loss = 1.009 | diffusion loss = 0.058
Epoch 29: duration loss = 0.624 | prior loss = 1.008 | diffusion loss = 0.058
Epoch 30: duration loss = 0.620 | prior loss = 1.008 | diffusion loss = 0.058
Epoch 31: duration loss = 0.615 | prior loss = 1.007 | diffusion loss = 0.059
Epoch 1: duration loss = 0.914 | prior loss = 1.104 | diffusion loss = 0.095
Epoch 2: duration loss = 0.781 | prior loss = 1.031 | diffusion loss = 0.069
Epoch 3: duration loss = 0.761 | prior loss = 1.028 | diffusion loss = 0.065
Epoch 4: duration loss = 0.748 | prior loss = 1.026 | diffusion loss = 0.064
Epoch 5: duration loss = 0.740 | prior loss = 1.025 | diffusion loss = 0.063
Epoch 6: duration loss = 0.736 | prior loss = 1.024 | diffusion loss = 0.063
Epoch 7: duration loss = 0.730 | prior loss = 1.023 | diffusion loss = 0.062
Epoch 8: duration loss = 0.725 | prior loss = 1.022 | diffusion loss = 0.063
Epoch 9: duration loss = 0.722 | prior loss = 1.021 | diffusion loss = 0.061
Epoch 10: duration loss = 0.717 | prior loss = 1.021 | diffusion loss = 0.061
Epoch 11: duration loss = 0.714 | prior loss = 1.020 | diffusion loss = 0.061
Epoch 12: duration loss = 0.710 | prior loss = 1.020 | diffusion loss = 0.060
Epoch 13: duration loss = 0.705 | prior loss = 1.019 | diffusion loss = 0.059
Epoch 14: duration loss = 0.701 | prior loss = 1.018 | diffusion loss = 0.060
Epoch 15: duration loss = 0.696 | prior loss = 1.017 | diffusion loss = 0.060
Epoch 16: duration loss = 0.691 | prior loss = 1.017 | diffusion loss = 0.059
Epoch 17: duration loss = 0.686 | prior loss = 1.016 | diffusion loss = 0.059
Epoch 18: duration loss = 0.680 | prior loss = 1.015 | diffusion loss = 0.059
Epoch 19: duration loss = 0.675 | prior loss = 1.015 | diffusion loss = 0.060
Epoch 20: duration loss = 0.669 | prior loss = 1.014 | diffusion loss = 0.059
Epoch 21: duration loss = 0.664 | prior loss = 1.013 | diffusion loss = 0.059
Epoch 22: duration loss = 0.659 | prior loss = 1.013 | diffusion loss = 0.058
Epoch 23: duration loss = 0.652 | prior loss = 1.012 | diffusion loss = 0.058
Epoch 24: duration loss = 0.647 | prior loss = 1.011 | diffusion loss = 0.058
